Year,State,Region,Democratic %,Republican %,P.S.,P.S. Score,National Winner
2004,Tennessee,S,42.5,56.8,R+,-11.91,Bush
2004,Texas,S,38.2,61.1,R+,-20.53,Bush
2004,Utah,W,26.0,71.5,R+,-44.20,Bush
2004,Vermont,N,58.9,38.8,D+,23.09,Bush
2004,Virginia,S,45.5,53.7,R+,-5.78,Bush
2004,Washington,W,52.8,45.6,D+,9.78,Bush
2004,Washington D.C.,N,89.2,9.3,D+,83.53,Bush
2004,West,W,49.9,48.7,D+,3.66,Bush
2004,West Virginia,S,43.2,56.1,R+,-10.47,Bush
2004,Wisconsin,M,49.7,49.3,D+,2.87,Bush
2004,Wyoming,W,29.1,68.9,R+,-38.14,Bush
2008,Alabama,S,38.7,60.3,R+,-29.16,Obama
2008,Alaska,W,37.9,59.4,R+,-29.51,Obama
2008,Arizona,W,44.9,53.4,R+,-16.00,Obama
2008,Arkansas,S,38.9,58.7,R+,-27.72,Obama
2008,California,W,60.9,36.9,D+,17.18,Obama
2008,Colorado,W,53.7,44.7,D+,1.72,Obama
2008,Connecticut,N,60.6,38.2,D+,15.26,Obama
2008,Delaware,N,61.9,36.9,D+,17.90,Obama
2008,Florida,S,50.9,48.1,R+,-4.54,Obama
2008,Georgia,S,46.9,52.1,R+,-12.63,Obama
